,sample,T,rho
491,38.0,25,-0.9
492,34.0,25,-0.9
493,18.0,25,-0.9
494,26.0,25,-0.9
495,23.0,25,-0.9
496,25.0,25,-0.9
497,19.0,25,-0.9
498,37.0,25,-0.9
499,29.0,25,-0.9
500,35.0,25,-0.9
501,26.0,25,-0.9
502,20.0,25,-0.9
503,14.0,25,-0.9
504,31.0,25,-0.9
505,31.0,25,-0.9
506,33.0,25,-0.9
507,19.0,25,-0.9
508,42.0,25,-0.9
509,13.0,25,-0.9
510,13.0,25,-0.9
511,13.0,25,-0.9
512,14.0,25,-0.9
513,10.0,25,-0.9
514,23.0,25,-0.9
515,21.0,25,-0.9
516,29.0,25,-0.9
517,28.0,25,-0.9
518,16.0,25,-0.9
519,18.0,25,-0.9
520,14.0,25,-0.9
521,14.0,25,-0.9
522,13.0,25,-0.9
523,19.0,25,-0.9
524,12.0,25,-0.9
525,28.0,25,-0.9
526,37.0,25,-0.9
527,45.0,25,-0.9
528,20.0,25,-0.9
529,20.0,25,-0.9
530,36.0,25,-0.9
531,42.0,25,-0.9
532,39.0,25,-0.9
533,7.0,25,-0.9
534,21.0,25,-0.9
535,8.0,25,-0.9
536,9.0,25,-0.9
537,13.0,25,-0.9
538,10.0,25,-0.9
539,11.0,25,-0.9
540,12.0,25,-0.9
541,10.0,25,-0.9
542,16.0,25,-0.9
543,13.0,25,-0.9
544,20.0,25,-0.9
545,13.0,25,-0.9
546,17.0,25,-0.9
547,30.0,25,-0.9
548,30.0,25,-0.9
549,37.0,25,-0.9
550,25.0,25,-0.9
551,29.0,25,-0.9
552,29.0,25,-0.9
553,33.0,25,-0.9
554,21.0,25,-0.9
555,33.0,25,-0.9
556,36.0,25,-0.9
557,30.0,25,-0.9
558,24.0,25,-0.9
559,18.0,25,-0.9
560,21.0,25,-0.9
561,20.0,25,-0.9
562,21.0,25,-0.9
563,16.0,25,-0.9
564,22.0,25,-0.9
565,22.0,25,-0.9
566,24.0,25,-0.9
567,17.0,25,-0.9
568,19.0,25,-0.9
569,15.0,25,-0.9
570,19.0,25,-0.9
571,16.0,25,-0.9
572,19.0,25,-0.9
573,22.0,25,-0.9
574,22.0,25,-0.9
575,19.0,25,-0.9
576,31.0,25,-0.9
577,34.0,25,-0.9
578,27.0,25,-0.9
579,24.0,25,-0.9
580,27.0,25,-0.9
581,30.0,25,-0.9
582,30.0,25,-0.9
583,43.0,25,-0.9
584,43.0,25,-0.9
585,51.0,25,-0.9
586,37.0,25,-0.9
587,29.0,25,-0.9
588,29.0,25,-0.9
589,32.0,25,-0.9
590,31.0,25,-0.9
591,22.0,25,-0.9
592,15.0,25,-0.9
593,24.0,25,-0.9
594,18.0,25,-0.9
595,21.0,25,-0.9
596,28.0,25,-0.9
597,31.0,25,-0.9
598,26.0,25,-0.9
599,20.0,25,-0.9
600,28.0,25,-0.9
601,13.0,25,-0.9
602,8.0,25,-0.9
603,10.0,25,-0.9
604,11.0,25,-0.9
605,19.0,25,-0.9
606,11.0,25,-0.9
607,9.0,25,-0.9
608,11.0,25,-0.9
609,16.0,25,-0.9
610,15.0,25,-0.9
611,21.0,25,-0.9
612,36.0,25,-0.9
613,17.0,25,-0.9
614,23.0,25,-0.9
615,16.0,25,-0.9
616,20.0,25,-0.9
617,24.0,25,-0.9
618,41.0,25,-0.9
619,16.0,25,-0.9
620,17.0,25,-0.9
621,19.0,25,-0.9
622,20.0,25,-0.9
623,41.0,25,-0.9
624,15.0,25,-0.9
625,18.0,25,-0.9
626,14.0,25,-0.9
627,18.0,25,-0.9
628,15.0,25,-0.9
629,33.0,25,-0.9
630,18.0,25,-0.9
631,19.0,25,-0.9
632,16.0,25,-0.9
633,18.0,25,-0.9
634,14.0,25,-0.9
635,32.0,25,-0.9
636,22.0,25,-0.9
637,17.0,25,-0.9
638,16.0,25,-0.9
639,19.0,25,-0.9
640,19.0,25,-0.9
641,23.0,25,-0.9
642,37.0,25,-0.9
643,35.0,25,-0.9
644,28.0,25,-0.9
645,40.0,25,-0.9
646,37.0,25,-0.9
647,34.0,25,-0.9
648,34.0,25,-0.9
649,30.0,25,-0.9
650,36.0,25,-0.9
651,8.0,25,-0.9
652,23.0,25,-0.9
653,33.0,25,-0.9
654,12.0,25,-0.9
655,9.0,25,-0.9
656,37.0,25,-0.9
657,13.0,25,-0.9
658,26.0,25,-0.9
659,9.0,25,-0.9
660,16.0,25,-0.9
661,19.0,25,-0.9
662,20.0,25,-0.9
663,21.0,25,-0.9
664,22.0,25,-0.9
665,17.0,25,-0.9
666,22.0,25,-0.9
667,17.0,25,-0.9
668,10.0,25,-0.9
669,10.0,25,-0.9
670,8.0,25,-0.9
671,10.0,25,-0.9
672,9.0,25,-0.9
673,17.0,25,-0.9
674,27.0,25,-0.9
675,32.0,25,-0.9
676,47.0,25,-0.9
677,34.0,25,-0.9
678,24.0,25,-0.9
679,41.0,25,-0.9
